FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
205	58026	159	724	426	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
206	58186	259	860	798	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
207	58445	339	893	767	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
208	58784	239	800	764	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
209	59023	319	839	761	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
210	59342	199	900	733	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
211	59541	259	519	537	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
212	59801	239	511	290	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
213	60040	319	397	303	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
214	60359	279	454	302	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
215	60638	239	386	526	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
216	60877	259	521	304	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
217	61137	279	423	303	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
218	61416	319	561	198	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
219	61735	399	658	342	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
220	62133	200	647	305	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
221	62333	159	822	201	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
222	62492	279	486	313	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
223	62771	200	470	461	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
224	62971	339	393	456	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
225	63310	1296	495	421	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
226	64606	120	416	427	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
227	64725	638	503	436	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
228	65363	339	384	439	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
229	65702	2034	584	435	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
230	67736	1495	696	415	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
231	69231	359	536	210	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
232	69590	299	679	373	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
233	69889	159	582	251	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
234	70048	299	550	191	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
